"--Select--","--请选择--"
"Add New Option","增加新的选项"
"Add Selection","增加选择"
"As low as","最低"
"Bundle Items","捆绑商品"
"Bundle Product","捆绑商品"
"Buy %1$s with %2$s discount each","买%1$s件，每件优惠%2$s"
"Catalog Product View (Bundle)","分类商品查看 (捆绑)"
"Checkbox","多选"
"Choose a selection...","请选择..."
"Close","关闭"
"Default","默认"
"Default Qty","默认数量"
"Default Title","默认标题"
"Drop-down","下拉菜单"
"Dynamic","动态"
"Excl. Tax","不含税"
"Fixed","固定"
"From","从"
"From:","从:"
"Gift Message","礼物留言"
"Incl. Tax","含税"
"Input Type","输入类型"
"Is Required","必填"
"Message:","留言:"
"Multiple Select","多选"
"N/A","(无)"
"No options of this product are available.","本商品没有选项"
"None","无"
"Percent","百分比"
"Percent Discount","优惠百分比"
"Please enter search conditions to view products.","请输入搜索条件查看商品。"
"Please select options for product.","请选择商品选项。"
"Please select products to add","请选择商品添加"
"Please specify product option(s)","请指定商品选项"
"Position","位置"
"Price Range","价格范围"
"Price Type","价格类型"
"Price as configured","价格"
"Qty:","数量:"
"Radio Buttons","单选"
"Required options not selected.","必选项未选择。"
"Selected required options not available.","选择的必选项无效。"
"Separately","单独"
"Ship Bundle Items","捆绑商品发货"
"Shipment","配送"
"Store View Title","商店界面标题"
"There is no defined renderer for ""%s"" option type","没有""%s""的选项类型的定义"
"This product is also part of bundle(s)","本商品捆绑销售"
"To","到"
"To:","到:"
"Together","共"
"User Defined Qty","用户定义数量"
