"Actions","操作"
"Active","激活"
"Add New Rule","增加新的规则"
"Apply Rules","应用规则"
"Attribute Set","属性组"
"Catalog","分类"
"Catalog Price Rule","商品价格规则"
"Catalog Price Rules","商品价格规则"
"Category","分类"
"Comments History","备注记录"
"Conditions","条件"
"Conditions (leave blank for all products)","条件 (留空为所有商品)"
"Conditions Combination","条件组合"
"Credit Memos","退款记录"
"Customer Groups","客户分组"
"Customer is new buyer: %s","新客户：%s"
"Customer registered: %s","注册日期：%s"
"Date Expire","有效期"
"Date From","开始日期"
"Date Start","开始日期"
"Date To","结束日期"
"Delete Rule","删除规则"
"Description","说明"
"Description: %s","说明：%s"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Error while deleting rule. Please review log and try again.","删除规则错误. 请检查日志文件,并再尝试."
"Error while saving rule data. Please review log and try again.","保存规则数据错误. 请检查日志文件,并再尝试."
"Expire at: %s","有效期：%s"
"From Date","开始日期"
"General Information","基本信息"
"Gift Messages","礼物留言"
"ID","编号"
"Inactive","未激活"
"Invoices","发票"
"NOT LOGGED IN","游客"
"Name: %s","名称：%s"
"New Rule","新规则"
"No","否"
"Options","选项"
"Order Credit Memos","订单退款记录"
"Order Gift Messages","订单礼物留言"
"Order History","订单记录"
"Order Invoices","订单发票"
"Order Shipments","订单配送"
"Priority","优先级"
"Product Attribute","商品属性"
"Promotions","促销"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule was successfully deleted","成功删除规则"
"Rule was successfully saved","成功保存规则"
"Rules were successfully applied","成功应用规则"
"Save And Continue Edit","保存并继续编辑"
"Save Rule","保存规则"
"Save and Apply","保存并应用"
"Shipments","配送"
"Start at: %s","开始：%s"
"Status","状态"
"Stop further rules processing","停止处理其它规则"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","尚有未执行的规则变更。请点击“应用规则”以查看目录价格变更效果"
"This rule no longer exists","该规则不存在"
"To Date","结束日期"
"Unable to apply rules","无法应用规则"
"Unable to find a page to delete","无法找到要删除的页面"
"Update product's %s %s: %s","更新商品的 %s %s: %s"
"Websites","网站"
"Wrong rule specified.","错误规划指定."
"Yes","是"
