"Actions","操作"
"Add Answer","增加选项"
"Add New Answer","增加新的选项"
"Add New Poll","增加新的投票"
"Answer Title","选项标题"
"Answer Title:","选项标题："
"Answer was successfully saved","成功保存选项"
"Answer with the same title in this poll","投票中的选项相同"
"Are you sure you want to delete it?","您确认要删除吗？"
"Assigned Answers","指定选项"
"Closed","关闭"
"Community Poll","社区投票"
"Date Closed","结束日期"
"Date Posted","发布日期"
"Delete","删除"
"Delete Answer","删除选项"
"Delete Poll","删除投票"
"Disallow voting in a poll multiple times from same IP-address","禁止相同IP地址重复投票"
"Edit Answer '%s'","修改选项'%s'"
"Edit Poll '%s'","修改投票'%s'"
"Edit Poll Answer","修改投票选项"
"ID","编号"
"Invalid Answer","无效选项"
"New Poll","新增投票"
"Number of Responses","投票数量"
"Open","启用"
"Poll Answers","投票选项"
"Poll Information","投票信息"
"Poll Manager","投票管理"
"Poll Question","投票问题"
"Poll information","投票信息"
"Poll not exists","投票不存在"
"Poll with the same question","投票问题相同"
"Polls","投票"
"Save Answer","保存选项"
"Save Poll","保存投票"
"Status","状态"
"Unable to find answer to delete.","没有找到要删除的选项。"
"Visible In","可见于"
"Vote","投票"
"Votes Count","投票计数"
"Votes Count:","投票计数："
