"Catalog Hot Sale Products List","热卖商品列表"
"Show Hot Sale Products List","显示热卖商品列表"
"Catalog Regular Products List","固定商品列表"
"Show Regular Products List","显示固定商品列表"
"Choose Category","分类"
"Not Selected","没有选择"
"Number of Products to Display","显示商品的数量"
"Separator by comma","使用逗号分隔"
"Cache Lifetime (Seconds)","缓存时间(秒)"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","如果不设置，默认为86400。马上刷新，清除块HTML输出缓存。"
"The default products list template","默认商品列表模板"
"Hot Sale Products Images and Names Template","热卖商品图像和名称的模板"
"Hot Sale Products Names Only Template","热卖商品名称模板"
"Hot Sale Products Images Only Template","热卖商品图像模板"
