"Third Login","第三方登录"
"Invalid request.","无效的请求."
"Does not support the login of type.","不支持的登录类型."
"Invalid only ID.","无效的唯一ID."
"Invalid login mode.","无效的登录方式."
"""%s"" Way logged is inactive.","""%s""登录方式未激活."
"Third Login Set","第三方登录设置"
"QQ Settings","QQ账号登录设置"
"Sina Settings","新浪微博账号登录设置"
"Taobao Settings","淘宝账号登录设置"
"Login application App Key","登录应用申请所获取的 App Key"
"Login application App Sercet","登录应用申请所获取的 App 密钥"
"Invalid App Key/Sercet parameters.","无效的  App Key/密钥 参数."
"Access Token failure.","错误: 获取访问令牌失败."
"Access User ID failure.","错误: 获取用户ID失败."
"Login icon","登录图标"
"Login alt","登录文字描叙"
"QQ Login","使用QQ账号登录"
"Sina Login","使用新浪微博账号登录"
"Taobao Login","使用淘宝账号登录"
